tweets,id_str,len,date,source,likes,retweets,label
"Once you have started seeing the
BEAUTY OF LIFE, ugliness starts disappearing. If you start looking at life with jo… https://t.co/bmc9CX17v7",1255343199700254721,140,2020-04-29 03:48:36,Twitter for Android,0,0,1
"Dance is just like film in that it allows for thoughts in movement. 
#happy #international #dance #day https://t.co/CAAVxTPMlN",1255342801488941058,126,2020-04-29 03:47:01,Twitter for Android,0,0,1
"#Life is too short ⌛to be anything but #happy. So kiss slowly, #love deeply and #forgive quickly.❤🌸🍃

Take #chances… https://t.co/sfE1W9RXYX",1255342282506715136,140,2020-04-29 03:44:57,Twitter for Android,0,0,1
"""because my kindom isn't from this world""... .
.
.
.
.
.
.
#gt #Curlyhair #clarinet #lovemusic #loveart… https://t.co/FfuH8F5B5u",1255341927475576833,128,2020-04-29 03:43:33,Instagram,0,0,1
"Dancing is poetry with arms and legs.
#happy #international #dance #day https://t.co/ovFNSAZI8v",1255341856793165825,95,2020-04-29 03:43:16,Twitter for Android,0,0,1
"If I was a burden to you
If I was a baggage. I should’ve
left you earlier, I’m sorry
#HAPPY",1255341790573531136,91,2020-04-29 03:43:00,twittbot.net,0,0,1
"#Health #Happy #Life Redcon1 Boomstick, 270 Count https://t.co/yg02NOpPXR",1255340910617022465,73,2020-04-29 03:39:30,Google,0,0,1
#Health #Happy #Life 310 nutrition Chocolate Plant Protein Powder and Meal Replacement… https://t.co/8tnkUVQBkl,1255340908607868929,111,2020-04-29 03:39:30,Google,0,0,1
#Health #Happy #Life 2.0 W Lifestyle Capsule - Thrive by L-E-V-E-L https://t.co/j4ozvocQAh,1255340907710361604,90,2020-04-29 03:39:30,Google,0,0,1
#Health #Happy #Life Arthur Andrew Medical Neprinol AFD - immune function &amp; circulation… https://t.co/1gbvL05lZR,1255340906594676740,116,2020-04-29 03:39:29,Google,0,0,1
"#Health #Happy #Life 6 bottles Vitamin C with Rose Hips, 100 Chewable Tablets/bottle, big… https://t.co/nET2bZFb9q",1255340905650929665,114,2020-04-29 03:39:29,Google,0,0,1
"#Health #Happy #Life Seagate, Olive Leaf Extract Immune System Health Support 450 mg, 250 V… https://t.co/hiYfwXf0gK",1255340904644255745,116,2020-04-29 03:39:29,Google,0,0,1
#Health #Happy #Life 2.0 M Lifestyle Capsule - Thrive by L-E-V-E-L https://t.co/Y5H6vmxji0,1255340903520186368,90,2020-04-29 03:39:29,Google,0,0,1
#Health #Happy #Life Philips Sonicare Airfloss Rechargeable Electric Flosser https://t.co/v6ZoWnqDWC,1255340896696119297,100,2020-04-29 03:39:27,Google,0,0,1
#Health #Happy #Life 5 PCS Dental Teeth Whitening Lamp LED Light Bleaching Accelerator https://t.co/ghkJl1kZh7,1255340895739809795,110,2020-04-29 03:39:27,Google,0,0,1
#Health #Happy #Life Boka Electric Toothbrush with Two Activated Charcoal Bristle… https://t.co/jd7X2GT0SQ,1255340893860749312,106,2020-04-29 03:39:26,Google,0,0,1
#Health #Happy #Life Oral-B Pro 5000 Smart Series Rechargeable Electric Toothbrush Blue https://t.co/pI3ngPVau6,1255340892862455808,111,2020-04-29 03:39:26,Google,0,0,1
#Health #Happy #Life Crest 3D Whitestrips Dental Teeth Whitening Kit CHARCOAL MINT 14… https://t.co/e6KsPqWHOt,1255340891880992768,110,2020-04-29 03:39:26,Google,0,0,1
#Health #Happy #Life Crest 3D Whitestrips Dental Teeth Whitening Kit ARCTIC MINT 14… https://t.co/0zmCIbQtQy,1255340890866008067,108,2020-04-29 03:39:26,Google,0,0,1
#Health #Happy #Life Philips Sonicare 9500 DiamondClean Smart Power Toothbrush - White/Rose… https://t.co/VqSWpmUHpE,1255340889821646851,116,2020-04-29 03:39:25,Google,0,0,1
#Health #Happy #Life Mens Authentic Ray-Ban Aviator Sunglasses RB3025 L0205 Gold Green… https://t.co/EmHzgkreBL,1255340789766512641,111,2020-04-29 03:39:02,Google,0,0,1
#Health #Happy #Life NEW RALPH LAUREN RX EYEGLASSES 50/16/135 SHINY BROWN https://t.co/P7IUPIFzZg,1255340788302708737,97,2020-04-29 03:39:01,Google,0,0,1
#Health #Happy #Life COACH HC 6016 Saige 5054 135 MM AUTHENTIC RX EYEGLASSES https://t.co/rGCZmC2JUh,1255340786377424896,100,2020-04-29 03:39:01,Google,0,0,1
#Health #Happy #Life Oakley Bottle Rocket 4.0 RX Eye Glasses Matte Black Metal Frames ONLY… https://t.co/YWrBZVDeDo,1255340784821448704,115,2020-04-29 03:39:00,Google,0,0,1
#Health #Happy #Life Optical Repair Tools Eyeglasses Glasses Kit Set 8 Pliers &amp; 6… https://t.co/9KDIhgEAbY,1255340783638589440,110,2020-04-29 03:39:00,Google,0,0,1
#Health #Happy #Life Suncloud Optics Airway Rimless Sunglasses (Crystal White|Purple Mirror) https://t.co/XaIMZczXIX,1255340782678147073,116,2020-04-29 03:39:00,Google,0,0,1
Create #Happy #Memories in this lockdown with #Personalised #Canvas from #Chhapdoh!!50% discount on all orders plac… https://t.co/ReQgIktl6c,1255340543539896322,140,2020-04-29 03:38:03,Twitter for Android,0,0,1
Dubai. Stay home. Stay safe. Photo by ig:lee_smartt #PicsDubai #Dubai #MyDubai #VisitDubai #PhotoOfTheDay… https://t.co/Tl3xYY3wzu,1255340179159728128,130,2020-04-29 03:36:36,dlvr.it,0,0,1
Icons. Stay home. Stay safe. Photo by ig:jade_vivero #PicsDubai #Dubai #MyDubai #VisitDubai #PhotoOfTheDay… https://t.co/rh1tDwnyAv,1255340172171980802,131,2020-04-29 03:36:34,dlvr.it,0,0,1
Day 599 of happy 2.0! I have strawberry 🍓 plants and they have buds! So excited! #happy #strawberries #socute… https://t.co/hvwDCeS0Eu,1255340051095072770,134,2020-04-29 03:36:05,Instagram,0,0,1
@EthelBooba6 As long as u fuel the fire teh @EthelBooba6 it keeps raging until it consumes the whole of u. I sugges… https://t.co/H8pqmeLGw5,1255340005679140865,140,2020-04-29 03:35:55,Twitter for iPhone,0,0,1
"I guess I'll have to divide the remaining 5% until I reach the weekend!
#zooconomy #zooconomemes #igers #instagram… https://t.co/arafL4tAUv",1255339791568244736,139,2020-04-29 03:35:04,Buffer,1,0,1
We count #our #success based on the #happy #customers we served. https://t.co/RScFzKuygi,1255339789055938561,88,2020-04-29 03:35:03,Hootsuite Inc.,0,0,1
"""because my kindom isn't from this world""... 
.
.
.
.
.
.
.
#gt #Curlyhair #clarinet #lovemusic #loveart… https://t.co/fwzvccuLHb",1255339396519395328,129,2020-04-29 03:33:29,Instagram,0,1,1
"#Introspection is powerful tool for self improvement !!

One needs to list down things that actually makes them… https://t.co/rSqunQq7ZH",1255339273043218433,136,2020-04-29 03:33:00,Buffer,0,0,1
#bag #chanel #clothes #siambrandname #followme #luxury #sbn #happy #follow #fashionblogger #summer #instadaily TKN… https://t.co/LFZuv7l8ac,1255338909179031552,139,2020-04-29 03:31:33,SocialRabbit Plugin,0,0,1
"My #father recently bough a turntable, you know What was the first thing I did??

I looked for ""Queen greatest hits… https://t.co/PrcxOt9sJD",1255338833132105731,140,2020-04-29 03:31:15,Twitter Web App,1,0,1
"TRUE 💯💯💯
.
.
.
.
#fun #memes #love #viral #funny #instagood #cute #tbt #photooftheday #life #girl #instadaily… https://t.co/cDtostLMUl",1255338574477737986,134,2020-04-29 03:30:13,Hootsuite Inc.,0,1,1
"Good Morning 

#goodmorning #morning #beautifulday #day #instaday #sunshine #freshday #besafe #behealthy #happy https://t.co/wzYr499Xas",1255338540013105153,135,2020-04-29 03:30:05,Hootsuite Inc.,0,0,1
It’s when the discomfort strikes that they realize a strong mind is the most powerful weapon of all.… https://t.co/bS0L5VD13L,1255338534518611969,125,2020-04-29 03:30:04,Twittimer,0,0,1
"Guitar chords 
D major chord 
open chords 

#guitar🎸 #playtime #happy #chord #easiestway #amazing #instamood… https://t.co/x7Pg1Fnu5W",1255338164614574081,133,2020-04-29 03:28:36,Instagram,0,0,1
My very tiny little bonsai plant started from seed #gardening #bonsai #seedling #whatdoyouthink  #whatname… https://t.co/smTdrw30NA,1255337671737716736,131,2020-04-29 03:26:38,Instagram,0,0,1
"Done is better than perfect
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#entrepreneur #business #motivation #success  #inspiration #lifestyle… https://t.co/O4ZGCyjm98",1255337540376236032,132,2020-04-29 03:26:07,Instagram,0,1,1
@AmazingSelenaa He doges there fire and raced after them shooting at them. Smirks and he sees his brother in arms… https://t.co/3L6wsJ5lul,1255337376932560897,138,2020-04-29 03:25:28,Twitter for Android,0,0,1
Tracing01 full video link in bio @domestika #art #artist #blue #illustration #artwork #happy #sketch #beautiful… https://t.co/BSVKJnksOe,1255337214713696257,136,2020-04-29 03:24:49,Twitter for Android,1,1,1
"@washingtonpost #happy #TrumpGenocide
#EEUU #UFO

RESPIRATORY THERAPIST EXPOSES THE ""FAKE VIRUS PANDEMIC""

👇 https://t.co/xCWdrDMSvt",1255336333175926784,132,2020-04-29 03:21:19,Twitter for Android,0,0,1
"5 TV shows you be caught up on being stuck inside!? 5 friends.!
#dvrcatchup

#Happy #SiFi 
#DarkCrystal #netflix… https://t.co/hDo3UdgeBv",1255336198089957378,137,2020-04-29 03:20:47,Twitter for Android,1,1,1
"Taeyeon - Taeyeon will hold a Vlive 'Happy for TAEYEON' on May 4, 7PM KST to celebrate the release of the single… https://t.co/s4GMFNeMRF",1255335981907161089,137,2020-04-29 03:19:55,Instagram,0,1,1
Yesss... Perfect bake... Banana cake #happy #bananacake #ecqweek #perfectbake https://t.co/wB03hYYIQH,1255335474316619780,101,2020-04-29 03:17:54,Instagram,0,0,1
#October Birthstone #Tourmaline #Rose #Gold #Ring https://t.co/Z8Iube2FTT #shopping #etsyjewelry #fashionable #happy #etsyhunter,1255335387897171971,128,2020-04-29 03:17:34,MyTestAppRFJSSTUDIO,0,0,1
"NATURALLY, #cats can help us to define how it feels to be #happy! What a surprise! #happiness https://t.co/6EQ8xdady8",1255335038964707328,117,2020-04-29 03:16:10,SocialOomph,0,0,1
"Episode 018: ""Redheads &amp; Run-on Sentences"" Gabriel Iglesias is always smiling

🎧 https://t.co/zt0Vyn2hTp
🌐… https://t.co/xVcdQfy1Fc",1255334779588874241,135,2020-04-29 03:15:09,Sprout Social,0,0,1
Make someone #happy today! https://t.co/ldZehoXcuH,1255334756864135168,50,2020-04-29 03:15:03,Hootsuite Inc.,1,0,1
"After I let you go, every
single day. I am alone
Obsessive and miserable
#HAPPY",1255334283272761347,79,2020-04-29 03:13:10,twittbot.net,0,0,1
"Cute Festive Decorative Plastic Party Garlands Set 
#cute #bag #toy #item #kid #happy https://t.co/WyVsao0cxo",1255334248476794882,109,2020-04-29 03:13:02,SocialRabbit Plugin,0,0,1
"Finding Happiness In Hard Times - A Cupful Of Happy 
#happiness #hardtimes #happy #joy https://t.co/AkRHXYgv3U",1255334242093076483,110,2020-04-29 03:13:00,eClincher,0,0,1
#amazing #happy Women's Matte Leather Wallet https://t.co/Qf25qa5WHc https://t.co/Lp2pLX5Nps,1255333497918631937,92,2020-04-29 03:10:03,SocialRabbit Plugin,0,0,1
"@PKintheMorning @denisekonair @POWERATL 
Don't hate on my mask! LOL 
#facemask #hellokitty #covid #Quarantine… https://t.co/83t0uotvQd",1255332844492242945,134,2020-04-29 03:07:27,Twitter for Android,0,0,1
Next watching #WWEBackstage #LetsGo y'all #Happy #Selfie #WrestleLover #SashaKrew #LegitBlueprint #mrodfamily… https://t.co/Sv7ML8E7hm,1255332760325103618,134,2020-04-29 03:07:07,Twitter for Android,0,0,1
"JamX. On record 
#clip #projet #new #music #reggaeton #urban #salsa #latino #cuba #cuban #newcaledonia #likes… https://t.co/aQ4jJTf7PC",1255332284581978113,134,2020-04-29 03:05:14,Twitter for Android,0,0,1
#Health #Happy #Life Cellcore: Organic Mimosa Pudica Seed 900mg Immune Digestive 120… https://t.co/Vk4hBLqkO7,1255331623643615233,109,2020-04-29 03:02:36,Google,0,0,1
#Health #Happy #Life Align® Probiotic Supplement (84 ct.) https://t.co/VVFC2ySHco,1255331622636978176,81,2020-04-29 03:02:36,Google,0,0,1
