tweets,id_str,len,date,source,likes,retweets,label
the wounds we soak #thesebluedepths #infj #introvert #selfcare #anxiety #mentalhealth #haiku #art #creative… https://t.co/V5kbELjlCS,1255346136174530563,132,2020-04-29 04:00:16,Buffer,0,0,4
"°°°°°°INTROVERT°°°°°°°
They talk less? They are unsocial?
Actually they are too busy to enjoy the conversation betw… https://t.co/yT4rAze490",1255340448601853954,140,2020-04-29 03:37:40,Twitter Web App,0,0,4
Dear Twitter! Please do our survey for my #psychology final! It’s only four questions: Are you an #Introvert or an… https://t.co/vHEeNBrpJk,1255309187585843201,139,2020-04-29 01:33:27,Twitter for iPhone,1,1,4
"Hi,  so I created another personal account ( not that anyone cares lol)  its @Raichu1432 . I spend  mist of my time… https://t.co/9uS2giNKJU",1255305406081044480,140,2020-04-29 01:18:25,Twitter for Android,0,0,4
#Introvert Life!!!! I was born this way🤷‍♀️ https://t.co/u8wEGPKXlp,1255299209584087042,67,2020-04-29 00:53:48,Instagram,0,0,4
"Man some nights I just really love laying in a dark, silent room all alone. It really helps me recharge. #introvert",1255293035820257280,115,2020-04-29 00:29:16,Twitter for iPhone,4,1,4
"Are you mostly an Introvert or Extrovert? In my new video on @CinnamonVideo , I describe 3 Mistakes Introverts Make… https://t.co/8WvJ8myuGJ",1255276651585437698,140,2020-04-28 23:24:10,Twitter for iPhone,0,0,4
I'm an introvert. I love being by myself. Love being outdoors. Love taking a long walk with my dog and looking at t… https://t.co/V6TFFixhJZ,1255274768410050562,140,2020-04-28 23:16:41,Instagram,0,0,4
I don't like talking on the phone. So why would you think I would like doing a voice over IP app like Zoom or Skype… https://t.co/6syfp9Bd9S,1255273893520125953,140,2020-04-28 23:13:12,Twitter Web App,3,0,4
My experiment of leaving #introvert hubby alone for 3 hours today while I went to Dripping Springs to meet with a f… https://t.co/CHp4G8puPk,1255268910288551937,140,2020-04-28 22:53:24,Twitter Web App,12,0,4
"As a kid, I didn't have a lot of friends. I probably had one friend that I actually hang out, went to their house,… https://t.co/2JsKCJ29mj",1255268595615096833,139,2020-04-28 22:52:09,Twitter Web App,0,0,4
I honestly don’t mind being quarantined I am not fighting to get back outside #introvert,1255263855699206145,88,2020-04-28 22:33:19,Twitter for iPhone,2,0,4
Every little thing is mentally and emotionally exhausting 😩 #Introvert #empath #anxiety,1255261112184049664,87,2020-04-28 22:22:25,Twitter for iPhone,0,0,4
The #introvert in me kind of wishes the #stayhome order would last a little longer... I kind of like not having to… https://t.co/c6q1JQoPlN,1255253636839604225,139,2020-04-28 21:52:43,Twitter for iPhone,2,0,4
"As an #introvert, I don’t mind the #stayathome restrictions because it saves me the time to come up with an excuse… https://t.co/jrs6AuCBmf",1255245995706920961,139,2020-04-28 21:22:21,Twitter for iPhone,0,0,4
"😂😂 too true!
.
Tell me please, bcs I do not leave the house if I can avoid it. #justsaying
.
.
.

#SeenOnInstagram… https://t.co/2n28MuuNX6",1255244292156788738,139,2020-04-28 21:15:35,Instagram,0,0,4
"The Social Challenge Of Highly Sensitive People - Sensitive Evolution https://t.co/lSZRo4Utko 

#hsp #introvert… https://t.co/TWqA0g30Ge",1255240707410997251,136,2020-04-28 21:01:20,Hootsuite Inc.,0,0,4
Yes they can! @FuriaRubel #leadershipskills #introvert #hr https://t.co/AP3SPkYPsL,1255235732744142848,82,2020-04-28 20:41:34,Twitter for iPhone,1,0,4
"😂😂 I’m D-Rose, D-Rose is me, D-Rose I am! 😩😂 #introvert https://t.co/i0TWPC8ixM",1255232124220776451,79,2020-04-28 20:27:14,Twitter for iPhone,0,0,4
"How does an avowed #introvert become an INC Top-3 podcast host, an incredible public speaker, a master at… https://t.co/TKrquKFIWU",1255230531182215170,130,2020-04-28 20:20:54,CoSchedule,0,0,4
One key distinction between introverts and extroverts is HOW they gain and recover their energy. An introvert re-ch… https://t.co/sySCLxqkOR,1255229110068133888,140,2020-04-28 20:15:15,Hootsuite Inc.,0,0,4
I’ve got to be honest....I’ve been thriving during quarantine #introvert,1255229057769394180,72,2020-04-28 20:15:03,Twitter for iPhone,2,0,4
I need a vacation. But not a vacation. I need a second work from home location. I still want to be alone but somewh… https://t.co/GBpWnV7U0L,1255228647272783875,140,2020-04-28 20:13:25,Twitter Web App,4,0,4
New #introvert #blog post by @MichaelaChung1 - Tips for Introverts Starting a Home Business https://t.co/WvPNwsegsI,1255228293705580545,115,2020-04-28 20:12:00,Buffer,0,0,4
"Get yours now!!

Order here: https://t.co/7cOkzIr14K

#infj
#infjlife
#infjfriends
#infjconfessions
#infjquotes… https://t.co/aetChlq5kx",1255225643798794241,136,2020-04-28 20:01:29,LaterMedia,0,1,4
"Practice silence. Silence can change the way you think, feel, and act. https://t.co/AC8s5mlWiP #executivecoach… https://t.co/8zViVq8nJy",1255221750331252741,135,2020-04-28 19:46:00,eClincher,0,0,4
I’ll be taking this week off from streaming. Work has been a lot &amp; I kinda just need some mental days for my batter… https://t.co/LsQci50W6f,1255220072752259072,144,2020-04-28 19:39:20,Twitter for iPhone,1,0,4
@MostBoringGirl Meanwhile I just keep ignoring calls. #introvert,1255219356197359621,64,2020-04-28 19:36:30,Twitter for iPhone,1,0,4
"Thanks to author, speaker, coach, and introvert advocate @introvertcoach for your kind support of my book and the h… https://t.co/zbxraKARbT",1255217495134306310,140,2020-04-28 19:29:06,CoSchedule,0,0,4
That rustling of branches of the trees. Wish time could stop here . Night is underrated. Rain in night is such a sp… https://t.co/Ju42eoaWFl,1255209997077630976,140,2020-04-28 18:59:18,Twitter for Android,1,0,4
"I sort of miss agreeing to do social things and then deciding not to do social things.  

#introvert #socialanxiety",1255201515473682434,115,2020-04-28 18:25:36,Twitter for iPhone,52,6,4
