tweets,id_str,len,date,source,likes,retweets,label
"@EVROPA_RISE @williamlegate @PressSec @realDonaldTrump If trump is selling it, a trumturd is buying!#sad
SK, due to… https://t.co/pxLaVbA1fh",1255342638485684225,140,2020-04-29 03:46:22,Twitter for iPad,0,0,0
"Reference Photo: @brianbowensmith
@lovekerrydoyle
#women #quicksketch #sad #despair #nudemodeling… https://t.co/3aFQkoLwXV",1255342606562836480,122,2020-04-29 03:46:15,Twitter for Android,1,0,0
Imagine being able to try out ninjala. Couldn't be me. #ninjala #ninjalaserversbroken #sad #iwannaplay #letmein,1255342280984145920,111,2020-04-29 03:44:57,Twitter for iPhone,3,0,0
"This is the endgame of the Republican party in GA, IA, TX, etc. It's all about disallowing insurance and unemployme… https://t.co/5fFo0yX3E0",1255342110913552385,140,2020-04-29 03:44:17,Twitter for Android,0,0,0
"Life is so short and people only care about sex, drugs, and murder... #Sad 💔",1255341782507945985,76,2020-04-29 03:42:58,Twitter for iPhone,0,0,0
"Reference Photo: @brianbowensmith
@lovekerrydoyle
#women #quicksketch #sad #despair #nudemodeling… https://t.co/lRV5S30SA7",1255341652786511876,122,2020-04-29 03:42:27,Twitter for Android,2,0,0
@Breaking911 I feel so awful for the tax paying citizens of New York City. #sad #CoronavirusNewYork #CoronaVirusNYC https://t.co/fhhsN83ucK,1255340312064659457,139,2020-04-29 03:37:08,Twitter for iPhone,1,0,0
@RonColeman @ElizbethLManess @JackPosobiec @GenFlynn He should.   They can never give him back his years or reputation.  #sad,1255340025169969152,125,2020-04-29 03:35:59,Twitter for iPhone,1,0,0
"@ProudGayPatriot So sorry my fellow #Patriot !! So much is wrong w/ that, and it’s just not right!!! I truly wish y… https://t.co/VDk4hFSFSe",1255339011369054208,140,2020-04-29 03:31:58,Twitter for iPhone,0,0,0
@JoeBiden Dear creepy joe. Please explain to me why we have to test all 330 million people in the US? Shouldn't we… https://t.co/sTxsCbViMQ,1255337506037522433,139,2020-04-29 03:25:59,Twitter for Android,0,0,0
Prominent Manhattan E.R. doctor on coronavirus front lines kills herself https://t.co/W0WFETvqIb #sad #tragedy Bless her soul.,1255336799729319936,126,2020-04-29 03:23:10,Twitter Web Client,0,0,0
@LindaFrum @MichelleRempel Delacourt is a super duper #Liberal insider.  She writes books &amp; advises this horrible… https://t.co/glgAklPRQA,1255336655688523776,142,2020-04-29 03:22:36,Twitter for iPad,0,0,0
Have you ever just watched a movie and it’s like the movie just speaks to you like u can relate then a little tear… https://t.co/3ksyQPjtgx,1255336363160936449,139,2020-04-29 03:21:26,Twitter for iPhone,0,0,0
@JoelAchenbach while I thank you for accurately depicting my quote and sentiments. You current piece fails to take… https://t.co/wg58GUHydv,1255335712418865152,139,2020-04-29 03:18:51,Twitter for iPhone,0,0,0
"@asanda_tom Doing what it has always done for over 25 years, and people keep voting for it thinking grants will be taken away #sad",1255335477693026304,130,2020-04-29 03:17:55,Twitter for Android,0,0,0
"pls forgive me..
working on this WIP rn &lt;3 
hope youre all ok 
follow me, i'd really be greatful ^_^ 
#music #sad… https://t.co/mH9Z66LyaC",1255335312433217536,141,2020-04-29 03:17:16,Twitter Web App,0,1,0
Let me tell you something. Why these bitches put on they goddamn dating apps that they are looking for somebody to… https://t.co/Jg8IdPMKJ5,1255335015170310145,139,2020-04-29 03:16:05,Twitter Web App,1,0,0
@chrislhayes Chris. I think we gave up on expecting any sense or sensibility from the MAGA KKKlan. Drinking fish ta… https://t.co/ZmjdkXijLP,1255334689553997824,140,2020-04-29 03:14:47,Twitter for iPhone,1,0,0
Jeff brought me #cupcakes as a #treat since I've been so sick (ear infection) but one of the cupcakes had NO… https://t.co/tJiXC4aOTz,1255333597600460802,133,2020-04-29 03:10:27,Twitter for Android,5,0,0
Just ready to sleep... Head hit pillow and chest caves in with depression feelings and can not stop the tears or da… https://t.co/SL6Yl9EUu7,1255333221224546304,140,2020-04-29 03:08:57,Twitter for Android,0,0,0
@McDonalds have picked up a few of your thank you meals in the last few days. Some of your workers dont even know w… https://t.co/TrPkcyT8L2,1255331538742452224,140,2020-04-29 03:02:16,Twitter for Android,0,0,0
Bae is mad at me #sad :(,1255330320553054208,24,2020-04-29 02:57:25,Twitter for iPhone,0,0,0
"Xxxtentacion Sad ""Full Song""
Piano Arrangement By 
PerSona Z
Download coming soon. Plus higher quality upload.… https://t.co/cUgaoxCmcU",1255330123236196356,135,2020-04-29 02:56:38,Twitter for Android,1,0,0
@shxhdbvd @Raymond10449530 @WhiteHouse Poor Cult45 members. Can't defend Trump with facts so they resort to photosh… https://t.co/nKa6DBDkuk,1255327348112703488,140,2020-04-29 02:45:37,Twitter Web App,6,0,0
How am I supposed to go another Wednesday without call her daddy #sad,1255327088996999168,69,2020-04-29 02:44:35,Twitter for iPhone,0,0,0
"@nkokesh @shannonrwatts And yet, they will still vote for Trump! #sad",1255327048299667459,69,2020-04-29 02:44:25,Twitter for Android,0,0,0
@ClitorisVoter @JamesBlonde2601 @hallettrasmus @peterdaou @realDonaldTrump MAGAts embrace the cruelty &amp; misogyny of… https://t.co/SzXpZYZCPZ,1255326792778424322,144,2020-04-29 02:43:24,Twitter Web App,0,0,0
@Tidmarsh_in_ID @Such_Ally @momcat614 @briebriejoy If you seriously believe what you just typed then you're just tw… https://t.co/9wsFdBzNZs,1255326742337765381,140,2020-04-29 02:43:12,Twitter Web App,0,0,0
"Quarantine... more like rehab for speeding.
Driving 20mph feels fast to me now #sad",1255326281622867968,83,2020-04-29 02:41:23,Twitter for iPhone,0,0,0
@lsedd @browncdngirl He did get 40+ years prison sentence for the deaths &amp; injuries he caused but he's serving sent… https://t.co/YwWzxWPCML,1255326246688436226,144,2020-04-29 02:41:14,Twitter Web App,0,0,0
my dinner is mashed potatoes with ketchup and rocky road ice cream. #sad,1255325595237519360,72,2020-04-29 02:38:39,Twitter for iPhone,0,0,0
@ehtn42 @jxmoore_89 Thanks Elaine! I look forward to (hopefully) collaborating with you very soon! Thanks for all y… https://t.co/4COvdC3zU2,1255324492592709633,140,2020-04-29 02:34:16,Twitter Web App,0,0,0
"Does @vp Pence understand that false negative #COVID19 tests i.e. infected people w/ negative test results, may be… https://t.co/vWwqKmfn0W",1255323371253923841,139,2020-04-29 02:29:49,Twitter for iPhone,0,0,0
"@piya Nobody eating my bread, that’s for sure! Kinda looks like a catchers mitt.  #sad https://t.co/NwzhyQWm1P",1255323236436447236,110,2020-04-29 02:29:17,Twitter for iPhone,4,0,0
Politics was like chess now it's chess with (lynching + abusing  +vendetta) x propaganda . #sad,1255322583186145286,95,2020-04-29 02:26:41,Twitter for iPhone,0,0,0
yet to find a friend/someone w the same weird music taste as me #sad,1255322302788653059,68,2020-04-29 02:25:34,Twitter for iPhone,0,0,0
"Hiii! 💕
~ I hope you like this drawing~
#Tord #eddsworld #sad #sadboy https://t.co/5zdbiX6AD5",1255322131908435973,93,2020-04-29 02:24:53,Twitter for Android,0,0,0
@izuluvr i wanted to dm u but the dms are broken #sad,1255321770560757762,53,2020-04-29 02:23:27,Twitter for iPhone,0,0,0
"@anthonycwalker That would be most all my Tweets. 🥺

#sad",1255321495359959041,57,2020-04-29 02:22:21,Twitter Web App,0,0,0
I used to get acai bowls like 3 times a week and now I haven’t had one in over 3 weeks #sad,1255320424629624832,91,2020-04-29 02:18:06,Twitter for iPhone,0,0,0
@leo_soul5 @forwardarc @TuckerCarlson Can’t even believe you have to say this to Tucker asshole bow tie let alone anyone in America. #sad,1255320005216014338,137,2020-04-29 02:16:26,Twitter for iPad,1,1,0
If I don’t tell her that I miss her she won’t ever tell me she does😔#sad #fml,1255319809966903297,77,2020-04-29 02:15:40,Twitter for iPhone,0,0,0
Finally took the Jeopardy! anytime test and think I did worse than when I took it earlier this year. #Sad,1255319591842127872,105,2020-04-29 02:14:48,Twitter for iPhone,3,0,0
"Dark, #SAD #PERIODPIECE #FANTASYFILMS antagonizing #COPS: https://t.co/vKRKV33YC9",1255319265311424514,81,2020-04-29 02:13:30,TweetDeck,0,0,0
feeling #sad,1255319083098267650,12,2020-04-29 02:12:46,Twitter for iPhone,0,0,0
@thomaskaine5 THEY’RE HIDING THE REAL STATISTICS. Same as not reporting how many Fox viewing Trump supporter’s have… https://t.co/hYfYDUbCSJ,1255318787714416641,140,2020-04-29 02:11:36,Twitter for iPad,0,0,0
As if I thought I could sleep tonight! #Crying #Anxious #Sad ....#TomorrowIsANewDay,1255318687785144321,83,2020-04-29 02:11:12,Twitter for Android,0,0,0
As if being in the @MayoClinic wasn't bad enough. #pence #sad,1255318362365792258,61,2020-04-29 02:09:54,Twitter Web App,2,0,0
We should be testing 1 MILLION TESTS PER DAY. Even at that rate it'll take 325 days to test EVERYONE at least once.… https://t.co/wOYDMyrJ0h,1255318303297462274,140,2020-04-29 02:09:40,Twitter for iPhone,1,0,0
@yours917 @CountryPhy @crismiller12 @MarkJam92731126 @KatiePavlich Seems the right doesn't know what to think unles… https://t.co/6TsqqlNWkk,1255317400490315778,140,2020-04-29 02:06:05,Twitter for Android,0,0,0
"@IvankaTrump @WhiteHouse Princess Ivanka. Every since you dad came to power in 2017, nepotism is ignored by the Ame… https://t.co/d7fv9sva0l",1255317158839582722,140,2020-04-29 02:05:07,Twitter for iPhone,0,0,0
What’s with #molly’s lips :/ too young for such disaster she was so pretty no need for that pumping :( #sad #staytrue #staypure #lovegh #GH,1255316638519476224,139,2020-04-29 02:03:03,Twitter for iPhone,0,0,0
I just signed up for @Grubhub @Grubhub_Care membership today and place a delivery order for @ontheborder After 2.5… https://t.co/d75T8xjoku,1255316300785684480,139,2020-04-29 02:01:43,Twitter for iPhone,0,0,0
"Unfortunately, where I'm from, the first thing they stop are the booze vendors!
#Sad no booze since #LockDown . Don… https://t.co/43oZEXg3mJ",1255315682440499201,140,2020-04-29 01:59:15,Twitter for Android,0,0,0
"If you've been replaced, moved on, walked away...You've lived a thousand years in your soul in a single day......… https://t.co/PR5YxMO7gN",1255314065997672448,138,2020-04-29 01:52:50,Twitter for iPhone,0,0,0
Damn I'm not fine !!  Fuck !! #sad,1255313898347126784,34,2020-04-29 01:52:10,Twitter for Android,0,0,0
"*2020* PnB Rock Type Beat - ""You're the One for Me"" | Sad/Trap Instrumen... https://t.co/AKS2h1jkTK 
#TypeBeat #Sad… https://t.co/nPEdunz7PT",1255313826062512128,140,2020-04-29 01:51:53,Twitter Web Client,0,0,0
Act for ... hamburgers. This is a guy who thinks sesame seeds on a whopper provides his daily serving of fruits and… https://t.co/ZiKt9lvgrP,1255313316836147200,140,2020-04-29 01:49:51,Twitter for iPhone,0,0,0
@AOC That's why ya'll gotta #votetheturdsoutnov3rd...  #sad  #dipshits,1255313288424034304,70,2020-04-29 01:49:45,Twitter Web App,0,0,0
@JWPatarino Journalism is dead. #Sad,1255313229817032709,36,2020-04-29 01:49:31,Twitter for iPhone,1,0,0
"It's sad to see that what is rightfully belong to the migrants is not reaching them. 

More over, the grains are br… https://t.co/iAOYhJOlNN",1255312303978938368,140,2020-04-29 01:45:50,Twitter for Android,0,0,0
@DanielNewman The way #coronavirus testing is being handled is tremendously bigly fucked up. #sad,1255312011908579329,97,2020-04-29 01:44:40,Twitter for Android,0,0,0
"@Excelsi04144814 WOW!! Stable Jenius right there, you got me 👏👏👏 #sad",1255311905327140865,69,2020-04-29 01:44:15,Twitter for Android,0,0,0
"A Night With Sorrow by @VValtersMusic 

listen here
https://t.co/19pflINeCl

#Music #NewMusic #Piano #MovieMusic… https://t.co/fHh7uiHu3Z",1255311886935097349,137,2020-04-29 01:44:11,Twitter Web App,3,2,0
Insecure AF #Sad https://t.co/bvl4Abakt7,1255311471275376641,40,2020-04-29 01:42:31,Twitter for Android,0,0,0
@DryCilantro @GrahamOfOz @w_terrence @realDonaldTrump Jesus Eric what's wrong with being gay? Way to uphold the ign… https://t.co/ZAdFQJf5Ko,1255310215978909697,140,2020-04-29 01:37:32,Twitter for Android,1,0,0
